contract,category,stratum,word_count,n_spans,strict_json_ok,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Ip Ownership Assignment,short,302,0.0,True,,,770.0,6.0,stop,5.69,0.00161,results/raw/20260818T161215__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Ip-Ownership-Assignment.txt
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,Non-Compete,short,302,0.0,True,,,725.0,6.0,stop,3.51,0.00152,results/raw/20260818T161218__extraction-v2__gemini-3.1-pro__BANGIINC_05_25_2005-EX-10-Premium_Manage__Non-Compete.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Governing Law,short,529,0.0,True,,,1072.0,6.0,stop,5.49,0.00222,results/raw/20260818T161224__extraction-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Governing-Law.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Expiration Date,short,529,0.0,True,,,1070.0,6.0,stop,6.07,0.00221,results/raw/20260818T161230__extraction-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Expiration-Date.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Termination For Convenience,short,529,0.0,True,,,1115.0,6.0,stop,5.13,0.0023,results/raw/20260818T161235__extraction-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Termination-For-Convenience.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Cap On Liability,short,529,0.0,True,,,1093.0,6.0,stop,7.25,0.00226,results/raw/20260818T161242__extraction-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Cap-On-Liability.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Ip Ownership Assignment,short,529,0.0,True,,,1131.0,6.0,stop,4.77,0.00233,results/raw/20260818T161247__extraction-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Ip-Ownership-Assignment.txt
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,Non-Compete,short,529,0.0,True,,,1086.0,6.0,stop,5.17,0.00224,results/raw/20260818T161252__extraction-v2__gemini-3.1-pro__GridironBionutrientsInc_20171206_8-K_EX-__Non-Compete.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Governing Law,short,756,0.0,True,,,1351.0,6.0,stop,4.97,0.00277,results/raw/20260818T161257__extraction-v2__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Governing-Law.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Expiration Date,short,756,0.0,True,,,1349.0,6.0,stop,8.46,0.00277,results/raw/20260818T161306__extraction-v2__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Expiration-Date.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Termination For Convenience,short,756,1.0,True,,,1394.0,31.0,stop,5.26,0.00316,results/raw/20260818T161311__extraction-v2__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Termination-For-Convenience.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Cap On Liability,short,756,0.0,True,,,1372.0,6.0,stop,5.17,0.00282,results/raw/20260818T161316__extraction-v2__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Cap-On-Liability.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Ip Ownership Assignment,short,756,0.0,True,,,1410.0,6.0,stop,6.21,0.00289,results/raw/20260818T161323__extraction-v2__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Ip-Ownership-Assignment.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,Non-Compete,short,756,0.0,True,,,1365.0,6.0,stop,6.33,0.0028,results/raw/20260818T161329__extraction-v2__gemini-3.1-pro__CardlyticsInc_20180112_S-1_EX-10.16_1100__Non-Compete.txt
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Governing Law,short,903,1.0,True,,,1390.0,51.0,stop,5.24,0.00339,"results/raw/20260818T161334__extraction-v2__gemini-3.1-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Governing-Law.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Expiration Date,short,903,0.0,True,,,1388.0,5.0,stop,4.99,0.00284,"results/raw/20260818T161339__extraction-v2__gemini-3.1-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Expiration-Date.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Termination For Convenience,short,903,1.0,True,,,1433.0,32.0,stop,4.06,0.00325,"results/raw/20260818T161343__extraction-v2__gemini-3.1-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Termination-For-Convenience.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Cap On Liability,short,903,0.0,True,,,1411.0,6.0,stop,9.63,0.00289,"results/raw/20260818T161353__extraction-v2__gemini-3.1-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Cap-On-Liability.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Ip Ownership Assignment,short,903,0.0,True,,,1449.0,6.0,stop,5.72,0.00297,"results/raw/20260818T161359__extraction-v2__gemini-3.1-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Ip-Ownership-Assignment.txt"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",Non-Compete,short,903,0.0,True,,,1404.0,6.0,stop,4.55,0.00288,"results/raw/20260818T161403__extraction-v2__gemini-3.1-pro__GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-1__Non-Compete.txt"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Governing Law,short,1762,1.0,True,,,2447.0,40.0,stop,6.39,0.00537,results/raw/20260818T161410__extraction-v2__gemini-3.1-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Governing-Law.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Expiration Date,short,1762,0.0,True,,,2445.0,6.0,stop,7.01,0.00496,results/raw/20260818T161417__extraction-v2__gemini-3.1-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Expiration-Date.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Termination For Convenience,short,1762,2.0,True,,,2490.0,139.0,stop,8.51,0.00665,results/raw/20260818T161425__extraction-v2__gemini-3.1-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Termination-For-Convenience.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Cap On Liability,short,1762,0.0,True,,,2468.0,6.0,stop,10.82,0.00501,results/raw/20260818T161436__extraction-v2__gemini-3.1-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Cap-On-Liability.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Ip Ownership Assignment,short,1762,0.0,True,,,2506.0,6.0,stop,6.96,0.00508,results/raw/20260818T161443__extraction-v2__gemini-3.1-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Ip-Ownership-Assignment.txt
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,Non-Compete,short,1762,0.0,True,,,2461.0,6.0,stop,5.08,0.00499,results/raw/20260818T161448__extraction-v2__gemini-3.1-pro__FEDERATEDGOVERNMENTINCOMESECURITIESINC_0__Non-Compete.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Governing Law,short,1849,1.0,True,,,2752.0,58.0,stop,8.78,0.0062,results/raw/20260818T161457__extraction-v2__gemini-3.1-pro__ImperialGardenResortInc_20161028_DRS_(on__Governing-Law.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Expiration Date,short,1849,0.0,True,,,2750.0,6.0,stop,14.04,0.00557,results/raw/20260818T161511__extraction-v2__gemini-3.1-pro__ImperialGardenResortInc_20161028_DRS_(on__Expiration-Date.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Termination For Convenience,short,1849,0.0,True,,,2795.0,6.0,stop,11.31,0.00566,results/raw/20260818T161522__extraction-v2__gemini-3.1-pro__ImperialGardenResortInc_20161028_DRS_(on__Termination-For-Convenience.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Cap On Liability,short,1849,0.0,True,,,2773.0,6.0,stop,9.39,0.00562,results/raw/20260818T161532__extraction-v2__gemini-3.1-pro__ImperialGardenResortInc_20161028_DRS_(on__Cap-On-Liability.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Ip Ownership Assignment,short,1849,0.0,True,,,2811.0,6.0,stop,6.4,0.00569,results/raw/20260818T161538__extraction-v2__gemini-3.1-pro__ImperialGardenResortInc_20161028_DRS_(on__Ip-Ownership-Assignment.txt
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Non-Compete,short,1849,0.0,True,,,2766.0,6.0,stop,6.01,0.0056,results/raw/20260818T161544__extraction-v2__gemini-3.1-pro__ImperialGardenResortInc_20161028_DRS_(on__Non-Compete.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Governing Law,short,2320,1.0,True,,,3410.0,61.0,stop,6.45,0.00755,results/raw/20260818T161550__extraction-v2__gemini-3.1-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Governing-Law.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Expiration Date,short,2320,1.0,True,,,3408.0,88.0,stop,11.89,0.00787,results/raw/20260818T161602__extraction-v2__gemini-3.1-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Expiration-Date.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Termination For Convenience,short,2320,1.0,True,,,3453.0,88.0,stop,11.1,0.00796,results/raw/20260818T161613__extraction-v2__gemini-3.1-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Termination-For-Convenience.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Cap On Liability,short,2320,0.0,True,,,3431.0,6.0,stop,6.58,0.00693,results/raw/20260818T161620__extraction-v2__gemini-3.1-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Cap-On-Liability.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Ip Ownership Assignment,short,2320,0.0,True,,,3469.0,6.0,stop,9.08,0.00701,results/raw/20260818T161629__extraction-v2__gemini-3.1-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Ip-Ownership-Assignment.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Non-Compete,short,2320,1.0,True,,,3424.0,55.0,stop,18.03,0.00751,results/raw/20260818T161647__extraction-v2__gemini-3.1-pro__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Non-Compete.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Governing Law,short,2438,1.0,True,,,3731.0,112.0,stop,7.72,0.00881,results/raw/20260818T161655__extraction-v2__gemini-3.1-pro__MorganStanleyDirectLendingFund_20191119___Governing-Law.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Expiration Date,short,2438,1.0,True,,,3729.0,45.0,stop,5.14,0.008,results/raw/20260818T161700__extraction-v2__gemini-3.1-pro__MorganStanleyDirectLendingFund_20191119___Expiration-Date.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Termination For Convenience,short,2438,1.0,True,,,3774.0,60.0,stop,6.66,0.00827,results/raw/20260818T161707__extraction-v2__gemini-3.1-pro__MorganStanleyDirectLendingFund_20191119___Termination-For-Convenience.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Cap On Liability,short,2438,0.0,True,,,3752.0,6.0,stop,10.89,0.00758,results/raw/20260818T161718__extraction-v2__gemini-3.1-pro__MorganStanleyDirectLendingFund_20191119___Cap-On-Liability.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Ip Ownership Assignment,short,2438,1.0,True,,,3790.0,109.0,stop,9.3,0.00889,results/raw/20260818T161727__extraction-v2__gemini-3.1-pro__MorganStanleyDirectLendingFund_20191119___Ip-Ownership-Assignment.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Non-Compete,short,2438,0.0,True,,,3745.0,6.0,stop,5.73,0.00756,results/raw/20260818T161733__extraction-v2__gemini-3.1-pro__MorganStanleyDirectLendingFund_20191119___Non-Compete.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Governing Law,short,2765,1.0,True,,,4633.0,31.0,stop,6.67,0.00964,results/raw/20260818T161739__extraction-v2__gemini-3.1-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Governing-Law.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Expiration Date,short,2765,0.0,True,,,4631.0,6.0,stop,5.87,0.00933,results/raw/20260818T161745__extraction-v2__gemini-3.1-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Expiration-Date.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Termination For Convenience,short,2765,0.0,True,,,4676.0,6.0,stop,11.44,0.00942,results/raw/20260818T161757__extraction-v2__gemini-3.1-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Termination-For-Convenience.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Cap On Liability,short,2765,0.0,True,,,4654.0,6.0,stop,4.97,0.00938,results/raw/20260818T161802__extraction-v2__gemini-3.1-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Cap-On-Liability.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Ip Ownership Assignment,short,2765,0.0,True,,,4692.0,6.0,stop,4.35,0.00946,results/raw/20260818T161806__extraction-v2__gemini-3.1-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Ip-Ownership-Assignment.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,Non-Compete,short,2765,0.0,True,,,4647.0,6.0,stop,7.31,0.00937,results/raw/20260818T161813__extraction-v2__gemini-3.1-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Non-Compete.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Governing Law,short,2848,1.0,True,,,4513.0,35.0,stop,4.98,0.00945,results/raw/20260818T161818__extraction-v2__gemini-3.1-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Governing-Law.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Expiration Date,short,2848,1.0,True,,,4511.0,125.0,stop,9.18,0.01052,results/raw/20260818T161828__extraction-v2__gemini-3.1-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Expiration-Date.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Termination For Convenience,short,2848,0.0,True,,,4556.0,6.0,stop,5.45,0.00918,results/raw/20260818T161833__extraction-v2__gemini-3.1-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Termination-For-Convenience.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Cap On Liability,short,2848,1.0,True,,,4534.0,127.0,stop,12.45,0.01059,results/raw/20260818T161845__extraction-v2__gemini-3.1-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Cap-On-Liability.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Ip Ownership Assignment,short,2848,0.0,True,,,4572.0,6.0,stop,6.62,0.00922,results/raw/20260818T161852__extraction-v2__gemini-3.1-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Ip-Ownership-Assignment.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Non-Compete,short,2848,1.0,True,,,4527.0,204.0,stop,21.94,0.0115,results/raw/20260818T161914__extraction-v2__gemini-3.1-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Non-Compete.txt
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Governing Law,short,2851,0.0,True,,,4027.0,6.0,stop,5.73,0.00813,"results/raw/20260818T161920__extraction-v2__gemini-3.1-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Governing-Law.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Expiration Date,short,2851,1.0,True,,,4025.0,45.0,stop,6.23,0.00859,"results/raw/20260818T161926__extraction-v2__gemini-3.1-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Expiration-Date.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Termination For Convenience,short,2851,0.0,True,,,4070.0,6.0,stop,5.84,0.00821,"results/raw/20260818T161932__extraction-v2__gemini-3.1-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Termination-For-Convenience.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Cap On Liability,short,2851,0.0,True,,,4048.0,5.0,stop,5.63,0.00816,"results/raw/20260818T161937__extraction-v2__gemini-3.1-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Cap-On-Liability.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Ip Ownership Assignment,short,2851,2.0,True,,,4086.0,101.0,stop,12.58,0.00938,"results/raw/20260818T161950__extraction-v2__gemini-3.1-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Ip-Ownership-Assignment.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Non-Compete,short,2851,0.0,True,,,4041.0,6.0,stop,14.99,0.00815,"results/raw/20260818T162005__extraction-v2__gemini-3.1-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Non-Compete.txt"
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Governing Law,short,2909,0.0,True,,,4005.0,6.0,stop,10.51,0.00808,results/raw/20260818T162016__extraction-v2__gemini-3.1-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Governing-Law.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Expiration Date,short,2909,2.0,True,,,4003.0,51.0,stop,9.44,0.00862,results/raw/20260818T162025__extraction-v2__gemini-3.1-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Expiration-Date.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Termination For Convenience,short,2909,2.0,True,,,4048.0,53.0,stop,23.64,0.00873,results/raw/20260818T162049__extraction-v2__gemini-3.1-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Termination-For-Convenience.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Cap On Liability,short,2909,0.0,True,,,4026.0,6.0,stop,6.6,0.00812,results/raw/20260818T162055__extraction-v2__gemini-3.1-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Cap-On-Liability.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Ip Ownership Assignment,short,2909,0.0,True,,,4064.0,6.0,stop,6.49,0.0082,results/raw/20260818T162102__extraction-v2__gemini-3.1-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Ip-Ownership-Assignment.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Non-Compete,short,2909,3.0,True,,,4019.0,154.0,stop,10.06,0.00989,results/raw/20260818T162112__extraction-v2__gemini-3.1-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Non-Compete.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Governing Law,medium,2955,1.0,True,,,4028.0,32.0,stop,5.35,0.00844,results/raw/20260818T162117__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Governing-Law.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Expiration Date,medium,2955,1.0,True,,,4026.0,73.0,stop,7.62,0.00893,results/raw/20260818T162125__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,medium,2955,0.0,True,,,4071.0,6.0,stop,5.91,0.00821,results/raw/20260818T162131__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,medium,2955,1.0,True,,,4049.0,156.0,stop,19.05,0.00997,results/raw/20260818T162150__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,medium,2955,0.0,True,,,4087.0,5.0,stop,7.54,0.00823,results/raw/20260818T162157__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,medium,2955,0.0,True,,,4042.0,6.0,stop,7.28,0.00816,results/raw/20260818T162205__extraction-v2__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Non-Compete.txt
