contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,moderate,Termination For Convenience,short,2320,Yes,Yes,,,3296.0,31.0,stop,1.78,0.00696,results/raw/20260818T193113__qa-v2__gpt-5.6-terra__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Termination-For-Convenience.txt
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,hard,Ip Ownership Assignment,short,2320,No,No,,,3303.0,8.0,stop,1.49,0.0067,results/raw/20260818T193114__qa-v2__gpt-5.6-terra__REWALKROBOTICSLTD_07_10_2014-EX-10.2-STR__Ip-Ownership-Assignment.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,easy,Governing Law,short,2438,New York,New York,,,3725.0,9.0,stop,1.51,0.00756,results/raw/20260818T193116__qa-v2__gpt-5.6-terra__MorganStanleyDirectLendingFund_20191119___Governing-Law.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,moderate,Termination For Convenience,short,2438,Yes,Yes,,,3728.0,8.0,stop,1.21,0.00755,results/raw/20260818T193117__qa-v2__gpt-5.6-terra__MorganStanleyDirectLendingFund_20191119___Termination-For-Convenience.txt
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,hard,Cap On Liability,short,2438,Yes,No,,,3739.0,8.0,stop,1.42,0.00757,results/raw/20260818T193118__qa-v2__gpt-5.6-terra__MorganStanleyDirectLendingFund_20191119___Cap-On-Liability.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,easy,Expiration Date,short,2765,,not specified,,,4465.0,9.0,stop,1.27,0.00904,results/raw/20260818T193120__qa-v2__gpt-5.6-terra__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Expiration-Date.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,moderate,Termination For Convenience,short,2765,No,No,,,4457.0,8.0,stop,1.64,0.00901,results/raw/20260818T193121__qa-v2__gpt-5.6-terra__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Termination-For-Convenience.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,hard,Ip Ownership Assignment,short,2765,No,No,,,4464.0,8.0,stop,1.67,0.00902,results/raw/20260818T193123__qa-v2__gpt-5.6-terra__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Ip-Ownership-Assignment.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,easy,Governing Law,short,2848,,not specified,,,4360.0,30.0,stop,1.35,0.00908,results/raw/20260818T193124__qa-v2__gpt-5.6-terra__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Governing-Law.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,moderate,Termination For Convenience,short,2848,No,No,,,4363.0,64.0,stop,2.13,0.00949,results/raw/20260818T193126__qa-v2__gpt-5.6-terra__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Termination-For-Convenience.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,hard,Cap On Liability,short,2848,No,Yes,,,4374.0,89.0,stop,2.72,0.00982,results/raw/20260818T193129__qa-v2__gpt-5.6-terra__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Cap-On-Liability.txt
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",easy,Expiration Date,short,2851,11/30/16,11/30/2016,,,4039.0,13.0,stop,1.89,0.00823,"results/raw/20260818T193131__qa-v2__gpt-5.6-terra__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Expiration-Date.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",moderate,Termination For Convenience,short,2851,No,No,,,4031.0,53.0,stop,1.76,0.0087,"results/raw/20260818T193133__qa-v2__gpt-5.6-terra__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Termination-For-Convenience.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",hard,Ip Ownership Assignment,short,2851,No,Yes,,,4038.0,8.0,stop,1.34,0.00817,"results/raw/20260818T193134__qa-v2__gpt-5.6-terra__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Ip-Ownership-Assignment.txt"
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,easy,Governing Law,short,2909,,not specified,,,4008.0,9.0,stop,1.46,0.00812,results/raw/20260818T193136__qa-v2__gpt-5.6-terra__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Governing-Law.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,moderate,Termination For Convenience,short,2909,Yes,Yes,,,4011.0,8.0,stop,1.9,0.00812,results/raw/20260818T193138__qa-v2__gpt-5.6-terra__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Termination-For-Convenience.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,hard,Cap On Liability,short,2909,No,No,,,4022.0,8.0,stop,1.97,0.00814,results/raw/20260818T193140__qa-v2__gpt-5.6-terra__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,easy,Expiration Date,medium,2955,,not specified,,,3938.0,30.0,stop,1.62,0.00824,results/raw/20260818T193141__qa-v2__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,moderate,Termination For Convenience,medium,2955,No,No,,,3930.0,8.0,stop,1.31,0.00796,results/raw/20260818T193142__qa-v2__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,hard,Ip Ownership Assignment,medium,2955,No,No,,,3937.0,8.0,stop,1.56,0.00797,results/raw/20260818T193144__qa-v2__gpt-5.6-terra__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,easy,Governing Law,medium,3435,,not specified,,,5675.0,9.0,stop,1.32,0.01146,results/raw/20260818T193145__qa-v2__gpt-5.6-terra__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,moderate,Termination For Convenience,medium,3435,No,Yes,,,5678.0,8.0,stop,1.42,0.01145,results/raw/20260818T193147__qa-v2__gpt-5.6-terra__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,hard,Cap On Liability,medium,3435,Yes,No,,,5689.0,8.0,stop,1.2,0.01147,results/raw/20260818T193148__qa-v2__gpt-5.6-terra__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Cap-On-Liability.txt
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,easy,Expiration Date,medium,3596,,not specified,,,5037.0,58.0,stop,1.81,0.01077,results/raw/20260818T193150__qa-v2__gpt-5.6-terra__PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-__Expiration-Date.txt
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,moderate,Termination For Convenience,medium,3596,No,No,,,5029.0,8.0,stop,1.39,0.01015,results/raw/20260818T193151__qa-v2__gpt-5.6-terra__PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-__Termination-For-Convenience.txt
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,hard,Ip Ownership Assignment,medium,3596,No,No,,,5036.0,39.0,stop,2.57,0.01054,results/raw/20260818T193154__qa-v2__gpt-5.6-terra__PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-__Ip-Ownership-Assignment.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,easy,Governing Law,medium,3770,Kansas,Kansas,,,5518.0,8.0,stop,1.58,0.01113,results/raw/20260818T193155__qa-v2__gpt-5.6-terra__ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSE__Governing-Law.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,moderate,Termination For Convenience,medium,3770,No,No,,,5521.0,8.0,stop,2.28,0.01114,results/raw/20260818T193158__qa-v2__gpt-5.6-terra__ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSE__Termination-For-Convenience.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,hard,Cap On Liability,medium,3770,No,No,,,5532.0,8.0,stop,1.67,0.01116,results/raw/20260818T193159__qa-v2__gpt-5.6-terra__ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSE__Cap-On-Liability.txt
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,easy,Expiration Date,medium,4102,3/14/20,03/14/2020,,,5395.0,13.0,stop,1.59,0.01095,results/raw/20260818T193201__qa-v2__gpt-5.6-terra__FreezeTagInc_20180411_8-K_EX-10.1_111396__Expiration-Date.txt
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,moderate,Termination For Convenience,medium,4102,No,No,,,5387.0,8.0,stop,1.22,0.01087,results/raw/20260818T193202__qa-v2__gpt-5.6-terra__FreezeTagInc_20180411_8-K_EX-10.1_111396__Termination-For-Convenience.txt
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,hard,Ip Ownership Assignment,medium,4102,No,No,,,5394.0,58.0,stop,1.64,0.01148,results/raw/20260818T193204__qa-v2__gpt-5.6-terra__FreezeTagInc_20180411_8-K_EX-10.1_111396__Ip-Ownership-Assignment.txt
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,easy,Governing Law,medium,4870,,Washington,,,6642.0,8.0,stop,1.85,0.01338,results/raw/20260818T193206__qa-v2__gpt-5.6-terra__PelicanDeliversInc_20200211_S-1_EX-10.3___Governing-Law.txt
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,moderate,Termination For Convenience,medium,4870,Yes,Yes,,,6645.0,8.0,stop,1.25,0.01339,results/raw/20260818T193207__qa-v2__gpt-5.6-terra__PelicanDeliversInc_20200211_S-1_EX-10.3___Termination-For-Convenience.txt
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,hard,Cap On Liability,medium,4870,No,No,,,6656.0,8.0,stop,1.29,0.01341,results/raw/20260818T193208__qa-v2__gpt-5.6-terra__PelicanDeliversInc_20200211_S-1_EX-10.3___Cap-On-Liability.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,easy,Expiration Date,medium,5780,1/30/00,01/30/2000,,,8003.0,13.0,stop,1.81,0.01616,results/raw/20260818T193210__qa-v2__gpt-5.6-terra__AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-__Expiration-Date.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,moderate,Termination For Convenience,medium,5780,No,No,,,7995.0,68.0,stop,1.94,0.01681,results/raw/20260818T193212__qa-v2__gpt-5.6-terra__AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-__Termination-For-Convenience.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,hard,Ip Ownership Assignment,medium,5780,No,Yes,,,8002.0,8.0,stop,1.21,0.0161,results/raw/20260818T193213__qa-v2__gpt-5.6-terra__AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-__Ip-Ownership-Assignment.txt
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,moderate,Termination For Convenience,medium,5880,No,No,,,8416.0,8.0,stop,3.88,0.01693,results/raw/20260818T193222__qa-v2__gpt-5.6-terra__GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGRE__Termination-For-Convenience.txt
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,hard,Cap On Liability,medium,5880,Yes,Yes,,,8427.0,8.0,stop,2.51,0.01695,results/raw/20260818T193224__qa-v2__gpt-5.6-terra__GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGRE__Cap-On-Liability.txt
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",easy,Expiration Date,medium,6029,3/1/97,02/28/1997,,,8223.0,101.0,stop,6.68,0.01766,"results/raw/20260818T193231__qa-v2__gpt-5.6-terra__NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBU__Expiration-Date.txt"
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",moderate,Termination For Convenience,medium,6029,Yes,Yes,,,8215.0,8.0,stop,1.32,0.01653,"results/raw/20260818T193232__qa-v2__gpt-5.6-terra__NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBU__Termination-For-Convenience.txt"
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",hard,Ip Ownership Assignment,medium,6029,No,No,,,8222.0,8.0,stop,3.02,0.01654,"results/raw/20260818T193235__qa-v2__gpt-5.6-terra__NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBU__Ip-Ownership-Assignment.txt"
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",moderate,Termination For Convenience,medium,7145,No,No,,,9729.0,98.0,stop,5.19,0.02063,"results/raw/20260818T193242__qa-v2__gpt-5.6-terra__Columbia_Laboratories,_(Bermuda)_Ltd._-___Termination-For-Convenience.txt"
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",hard,Cap On Liability,medium,7145,No,No,,,9740.0,8.0,stop,1.37,0.01958,"results/raw/20260818T193243__qa-v2__gpt-5.6-terra__Columbia_Laboratories,_(Bermuda)_Ltd._-___Cap-On-Liability.txt"
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,moderate,Termination For Convenience,medium,7337,No,No,,,10200.0,8.0,stop,5.18,0.0205,results/raw/20260818T193251__qa-v2__gpt-5.6-terra__LegacyEducationAllianceInc_20200330_10-K__Termination-For-Convenience.txt
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,hard,Ip Ownership Assignment,medium,7337,Yes,Yes,,,10207.0,83.0,stop,3.77,0.02141,results/raw/20260818T193255__qa-v2__gpt-5.6-terra__LegacyEducationAllianceInc_20200330_10-K__Ip-Ownership-Assignment.txt
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,easy,Governing Law,medium,7663,"Delaware, Illinois",Delaware,,,10552.0,9.0,stop,4.51,0.02121,results/raw/20260818T193300__qa-v2__gpt-5.6-terra__NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-__Governing-Law.txt
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,moderate,Termination For Convenience,medium,7663,Yes,Yes,,,10555.0,8.0,stop,3.16,0.02121,results/raw/20260818T193303__qa-v2__gpt-5.6-terra__NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-__Termination-For-Convenience.txt
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,hard,Cap On Liability,medium,7663,Yes,Yes,,,10566.0,69.0,stop,4.03,0.02196,results/raw/20260818T193307__qa-v2__gpt-5.6-terra__NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-__Cap-On-Liability.txt
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,easy,Expiration Date,medium,7965,12/31/30,not specified,,,10734.0,43.0,stop,3.13,0.02198,results/raw/20260818T193310__qa-v2__gpt-5.6-terra__PenntexMidstreamPartnersLp_20150416_S-1A__Expiration-Date.txt
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,moderate,Termination For Convenience,medium,7965,No,Yes,,,10726.0,8.0,stop,4.66,0.02155,results/raw/20260818T193315__qa-v2__gpt-5.6-terra__PenntexMidstreamPartnersLp_20150416_S-1A__Termination-For-Convenience.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,easy,Governing Law,long,8396,California,"California, USA",,,11777.0,10.0,stop,1.88,0.02367,results/raw/20260818T193321__qa-v2__gpt-5.6-terra__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Governing-Law.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,moderate,Termination For Convenience,long,8396,No,Yes,,,11780.0,8.0,stop,8.27,0.02366,results/raw/20260818T193329__qa-v2__gpt-5.6-terra__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Termination-For-Convenience.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,hard,Cap On Liability,long,8396,Yes,Yes,,,11791.0,8.0,stop,3.74,0.02368,results/raw/20260818T193333__qa-v2__gpt-5.6-terra__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Cap-On-Liability.txt
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,easy,Expiration Date,long,9243,perpetual,not specified,,,14881.0,9.0,stop,3.38,0.02987,results/raw/20260818T193336__qa-v2__gpt-5.6-terra__ENERGYXXILTD_05_08_2015-EX-10.13-Transpo__Expiration-Date.txt
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,hard,Ip Ownership Assignment,long,9243,No,No,,,14880.0,8.0,stop,1.56,0.02986,results/raw/20260818T193346__qa-v2__gpt-5.6-terra__ENERGYXXILTD_05_08_2015-EX-10.13-Transpo__Ip-Ownership-Assignment.txt
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,easy,Governing Law,long,9608,Delaware,Delaware,,,13239.0,9.0,stop,6.74,0.02659,results/raw/20260818T193352__qa-v2__gpt-5.6-terra__CerenceInc_20191002_8-K_EX-10.4_11827494__Governing-Law.txt
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,moderate,Termination For Convenience,long,9608,Yes,No,,,13242.0,8.0,stop,4.05,0.02658,results/raw/20260818T193356__qa-v2__gpt-5.6-terra__CerenceInc_20191002_8-K_EX-10.4_11827494__Termination-For-Convenience.txt
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,hard,Cap On Liability,long,9608,Yes,No,,,13253.0,8.0,stop,6.93,0.0266,results/raw/20260818T193403__qa-v2__gpt-5.6-terra__CerenceInc_20191002_8-K_EX-10.4_11827494__Cap-On-Liability.txt
