contract,category,n_spans,strict_json_ok,parse_error,tokens_in,tokens_out,latency_s,cost_usd,raw_path
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,0,True,,4024,6,7.58,0.00812,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175903__extraction__gemini-3.1-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Non-Compete.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Governing Law,0,True,,6095,6,5.49,0.01226,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175908__extraction__gemini-3.1-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Expiration Date,1,True,,6098,39,4.98,0.01266,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175913__extraction__gemini-3.1-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Expiration-Date.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Termination For Convenience,2,True,,6094,179,18.82,0.01434,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175932__extraction__gemini-3.1-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Cap On Liability,0,True,,6095,10,6.9,0.01231,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175939__extraction__gemini-3.1-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Cap-On-Liability.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Ip Ownership Assignment,0,True,,6096,6,5.71,0.01226,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175945__extraction__gemini-3.1-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Ip-Ownership-Assignment.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Non-Compete,0,True,,6098,5,4.94,0.01226,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T175950__extraction__gemini-3.1-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Non-Compete.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Governing Law,1,True,,12152,217,10.09,0.02691,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T180000__extraction__gemini-3.1-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Governing-Law.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Expiration Date,1,True,,12155,117,16.79,0.02571,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T180016__extraction__gemini-3.1-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Expiration-Date.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Termination For Convenience,0,True,,12151,6,6.66,0.02437,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T180023__extraction__gemini-3.1-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Termination-For-Convenience.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Cap On Liability,1,True,,12152,221,20.76,0.02696,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T180044__extraction__gemini-3.1-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Cap-On-Liability.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Ip Ownership Assignment,1,True,,12153,497,16.74,0.03027,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T180101__extraction__gemini-3.1-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Ip-Ownership-Assignment.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,Non-Compete,2,True,,12155,332,22.49,0.02829,/Users/boudz/Documents/Msc/Dissertation/results/raw/20260817T180123__extraction__gemini-3.1-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Non-Compete.txt
