Filename,txt_name,txt_path,word_count,stratum,Governing Law,Expiration Date,Termination For Convenience,Cap On Liability,Ip Ownership Assignment,Non-Compete,Governing Law-Answer,Expiration Date-Answer,Termination For Convenience-Answer,Cap On Liability-Answer,Ip Ownership Assignment-Answer,Non-Compete-Answer
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.pdf,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,2848,short,['This Amendment shall be governed by and construed under the law governing the Distributor Agreement.'],"['This Agreement shall be effective           through and including March 31, 2004.']",[],[],[],[],,3/31/04,No,No,No,No
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.PDF","XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt","/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",2851,short,[],"['Unless earlier terminated, this Agreement shall take effect on December 1st, 2015 and shall expire on November 30, 2016.']",[],[],[],[],,11/30/16,No,No,No,No
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.PDF,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,2909,short,[],"['The term of the Agreement will be for 12 months unless terminated sooner', 'The term of the Agreement will be for 12 months unless terminated sooner.']","['Either party may terminate this Agreement at any time with 30 days written notice.', 'Either party may terminate this agreement at any time with 30 days written notice.']",[],[],"['Should AVDU decide not to proceed in the acquisition of the technology/company as described above, then AVDU shall be prohibited from acquiring the technology/company either directly or indirectly, from the technology/company developer for a period of 24 months following the termination of this Strategic Alliance Agreement.', 'AVDU will not seek to acquire any technologies presented to AVDU by UTK directly from the technology developer for a period of 24 months following the termination of this Strategic Alliance agreement.']",,9/9/06,Yes,No,No,Yes
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,2955,medium,['This Agreement shall be governed by and construed in accordance with the laws of the State of California exclusive of its conflict of laws principles.'],"['This Agreement shall continue in effect from the Effective Date for a one (1) year period, unless earlier terminated as set forth below, and thereafter shall renew automatically for successive one (1) year periods unless either party gives the other party at least thirty (30) days prior written notice of its intent not to renew the Agreement.']",[],"[""In the event that the Software or eGain System is not Year 2000 Compliant, Customer's sole and exclusive remedy and eGain's sole and exclusive liability shall be for eGain, at no additional cost to Customer, to promptly modify the Software or the eGain System so that the Software or eGain System is Year 2000 Compliant."", ""In the event of a breach (other than Downtime) of the warranty set forth in Section 6.1(i) above, Customer's sole and exclusive remedy, and eGain's sole and exclusive liability shall be, at eGain's option, repair or replacement of the Software."", 'In the event of Downtime (as defined in this Section 6.1 below), as Customer\'s sole and exclusive remedy and eGain\'s sole and exclusive liability, the monthly fee payable for the Hosting Services shall be reduced as follows:\n\na) For the first sixty (60) minutes of Downtime during Normal Business       Hours or the first four (4) hours of Downtime outside of Normal Business       Hours (""Initial Downtime""), eGain will credit Customer\'s account for one       (1) day of service.\n\nb) For each eight (8) hour period of Downtime per day in addition to the       Initial Downtime, eGain will credit Customer\'s account for one (1)       additional day of service.', ""EXCLUDING LIABILITY FOR INFRINGEMENT CLAIMS AS DISCUSSED IN SECTION 9 OF THIS AGREEMENT, IN NO EVENT SHALL eGAIN BE LIABLE TO CUSTOMER FOR CONSEQUENTIAL, EXEMPLARY, INDIRECT, SPECIAL OR INCIDENTAL DAMAGES (INCLUDING, WITHOUT LIMITATION, LOST PROFITS), OR BE LIABLE TO ANY THIRD PARTY FOR ANY DAMAGES WHATSOEVER, EVEN IF eGAIN HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. eGain's entire liability under this Agreement for any damages from any cause whatsoever, regardless of form or action, whether in contract, negligence or otherwise, shall in no event exceed an amount equal to the price paid for the Services out of which the claim arose."", ""THE FOREGOING CONSTITUTES CUSTOMER'S SOLE AND EXCLUSIVE REMEDY, AND eGAIN'S ENTIRE LIABILITY, FOR DOWNTIME AND FOR BREACH OF THE HOSTING SERVICES WARRANTY PROVIDED IN THIS SECTION 6.1.""]",[],[],California,,No,Yes,No,No
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.PDF,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,3435,medium,[],['It shall be effective on 06 October 2000 and shall have a duration of two       years.'],[],"[""Sicap Ltd's liability for indirect loss, including consequential loss,       loss of profit, lost savings and loss caused by interruption of operations       is excluded.""]",[],[],,10/6/02,No,Yes,No,No
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,3596,medium,"['This Agreement and the rights of the Parties hereunder shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania including all matters of construction, validity, performance, and enforcement and without giving effect to the principles of conflict of laws.']",[],[],[],[],[],Pennsylvania,,No,No,No,No
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,3770,medium,['This Agreement shall be governed and construed according to the laws of the State of Kansas.'],['The Term of this Agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of September 2004 and terminating the [*****] day of [*****].'],[],[],[],"[""When endorsing a non-competitive product, under no circumstances shall CONSULTANT wear, play, use, hold or in any way be associated with an ADAMS GOLF competitor's Product.""]",Kansas,[]/[]/[],No,No,No,Yes
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,4102,medium,"['This Agreement is subject to and shall be construed in accordance with the laws of the Commonwealth of Virginia with jurisdiction and venue in federal and Virginia courts in Alexandria and Arlington, Virginia.']","['This Agreement shall commence on March 15, 2018 and will expire on March 14, 2020 unless terminated earlier pursuant to Section 13 of the Agreement (the ""Term"")']",[],[],[],[],Virginia,3/14/20,No,No,No,No
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.pdf,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,4870,medium,['This Agreement will be governed by the laws of the State of Washington without regards for its conflict of laws principle.'],"[""Unless otherwise provided herein, this Agreement will commence on the Effective Date and continue through the completion or termination of Developer's services and work product as mutually agreed upon between the Parties (the Project).""]",['Either Party may terminate this Agreement at any time during the term of this Agreement for any reason upon two weeks written notice to the other Party.'],[],"['Except as otherwise detailed in this Agreement, the Parties acknowledge and agree that the Subject Program including without limitation the Deliverables and Documentation (collectively, the Works) are ""work made for hire"" in accordance with the U.S. Copyright Act, 17 U.S.C. § 101 et seq.', 'To the extent permissible, Developer hereby assigns and transfers to Client all copyright and other intellectual property ownership in the Works.', 'Upon payment in full of all obligations hereunder, Developer unconditionally and irrevocably grants to Client all software, improvements, code and other work produce produced by the Developer during the course of this agreement.']",[],,perpetual,Yes,No,Yes,No
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.PDF,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,5780,medium,['This Agreement shall be governed by and       construed in accordance with the laws of the State of California without       regard to conflict of law principles.'],"['The term of the license hereby granted shall commence August 1, 1995 and continue until January 30, 2000, unless sooner terminated in the manner provided in the immediately succeeding sentence or as otherwise provided in this Agreement.']",[],[],[],[],California,1/30/00,No,No,No,No
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.PDF,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,5880,medium,"['This Agreement will be governed by and construed in             accordance with the laws of the State of New York, notwithstanding             the actual state or country of residence or incorporation of Excite             or Client.']","['In the event that Excite has not delivered XXXXXXXXXXXXXXXX             clickthroughs to the Client Site by the end of twelve (12) months             after the Launch Date, the first year of the term of the Agreement             will be extended without additional sponsorship and advertising fees             for up to an additional four (4) months.', ""The term of this Agreement will begin on the Launch Date and will             not end until Excite displays of a total of XXXXXXXXXXXXX             impressions of Client's advertising banners and promotional             placements on the Excite Site and Excite has made reasonable             commercial efforts to deliver, at minimum, a goal of XXXXXXXX             clickthroughs to the Client Site."", ""Regardless of Excite's actual             delivery of impressions and clickthroughs, the term of this             Agreement will not be shorter than two (2) years after the display             of the first of Client's advertising banners and promotional             placements, subject to the termination rights set forth below.""]",[],"['EXCEPT UNDER SECTIONS 13(a) AND 13(b), IN NO EVENT WILL EITHER PARTY             BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL             DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING             NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED             OF THE POSSIBILITY OF SUCH DAMAGE. THE LIABILITY OF EITHER PARTY FOR             DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR             ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE             AMOUNTS TO BE PAID BY CLIENT TO EXCITE HEREUNDER.']",[],"['Excite will in ""good faith"" ensure Client that the above mentioned             banners and promotional placements will be more prominently             presented than any other ""competitive retailer\'s"" banners or             promotional placements for the term of the Agreement. For the             purposes of this Agreement, a ""competitive retailer"" means an             on-line department store comparable to Bloomingdale\'s, Macy\'s,             Burdine\'s, Shopping.com, Chef\'s Catalog or iQVC.']",New York,perpetual,No,Yes,No,Yes
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.pdf","NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt","/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_II/NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",6029,medium,"['This Agreement, including its attachment and order acknowledgments under the Agreement, constitutes the entire agreement between Distributor and NETGEAR with respect to the purchase, resale and distribution of the Products and is governed by the laws of the State of California except that body of law dealing with conflicts of law.']",['This Agreement will be in effect for one year from the Effective Date and will automatically renew for successive one (1) year periods unless terminated as provided below.'],"['This Agreement may be terminated at any time without cause by either party upon ninety (90) days written notice to the other party.', 'This Agreement may be canceled at any time without cause, by either party upon ninety (90) days written notice to the other party.']","['Under no circumstances\n\nINGRAM NETGEAR Distributor AGREEMENT     9                                083096\n\nis NETGEAR liable for any third-party claims except for those described in this section and in the section entitled CLAIMS OF INFRINGEMENT.', ""EXCEPT FOR DAMAGES ARISING UNDER SECTIONS 14.A AND 16.A, IN NO EVENT WILL NETGEAR's OR BAY NETWORKS' TOTAL LIABILITY FOR ANY DAMAGES IN ANY ACTION BASED ON OR ARISING OUT OF OR IN CONNECTION WITH THE AGREEMENT EXCEED THE [*] TO NETGEAR PURSUANT TO THE AGREEMENT."", 'THE FOREGOING WARRANTIES AND LIMITATIONS ARE EXCLUSIVE REMEDIES AND ARE IN LIEU OF ALL OTHER WARRANTIES EXPRESS OR IMPLIED, INCLUDING WITHOUT ANY LIMITATION WARRANTY OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE.', ""End-users' exclusive remedy is to receive replacement Product from reseller and NETGEAR's sole obligation and liability under this warranty is to issue an off-setting credit to reseller for Product returned by reseller on behalf of its end-user because of defects in workmanship or material."", 'IN NO EVENT WILL EITHER PARTY OR THEIR RESPECTIVE PARENT CORPORATIONS OR SUPPLIERS BE LIABLE FOR (1) THE COST OF SUBSTITUTE PROCUREMENT, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, OR (2) ANY DAMAGES RESULTING FROM INACCURATE OR LOST DATA OR LOSS OF USE OR PROFITS ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, THE FURNISHING OF SERVICES, OR THE USE OR PERFORMANCE OF PRODUCTS, EVEN IF INFORMED OF SUCH DAMAGES.', 'Except as expressly agreed in writing between the parties, no party is liable to the other for any dollar amounts, costs or damages by reason of the expiration or earlier termination of the Agreement.', ""EXCEPT FOR DAMAGES ARISING FROM BREACH OF SECTIONS 6.C AND 12,13 OR 17, IN NO EVENT WELL DISTRIBUTOR's TOTAL LIABILITY FOR ANY DAMAGES IN ANY ACTION BASED ON OR ARISING OUT OF OR IN CONNECTION WITH THE AGREEMENT EXCEED THE [*] TO NETGEAR PURSUANT TO THE AGREEMENT."", 'NETGEAR has no liability for any settlement or compromise made without its prior written consent. Under no circumstances', ""If any item of Software fails to so perform during its warranty period, as the sole remedy NETGEAR of NETGEAR's supplier will at its discretion provide a suitable fix, patch or workaround for the problem which may be included in a future revision of the Software.""]",[],[],California,3/1/97,Yes,Yes,No,No
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF","Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt","/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",7145,medium,['This Amendment and and any dispute or claim (including non-contractual disputes or claims) arising out of or in connection with it or its subject matter or formation shall be governed by and construed in accordance with the laws of England.'],"['Unless terminated earlier pursuant to Section 12.2 below, the initial term of this Agreement shall expire on 31 December 2024 (the ""Initial Term"") unless the Parties mutually agree in writing any extension to the Initial Term.']",[],[],[],[],England,12/31/24,No,No,No,No
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,/Users/boudz/Documents/Msc/Dissertation/data/cuad/CUAD_v1/full_contract_txt/Part_I/LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,7337,medium,"['This Agreement will be governed by and construed in accordance with the laws of the State of New York without regard to its provisions concerning the applicability of the laws of other jurisdictions, and specifically excluding the United Nations Convention on the International Sale of Goods.']","['The Term shall commence upon the Effective Date and shall continue for an initial term of five (5) years.', 'The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.']",[],"[""EXCEPT FOR AMOUNTS PAYABLE TO THIRD PARTIES IN CONNECTION WITH CLAIMS SUBJECT TO THE INDEMNIFICATION PROVISIONS OF SECTION 9.1 OR A BREACH OF EITHER PARTY'S OBLIGATIONS UNDER SECTION 5 (CONFIDENTIALITY), NEITHER PARTY WILL, UNDER ANY CIRCUMSTANCES, BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS OR ANY OTHER SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR RELATING TO THIS AGREEMENT EVEN IF THE PARTY HAS BEEN NOTIFIED OF THE POSSIBILITY OF SUCH DAMAGES.""]","['In the event LEA shall be deemed to have acquired any ownership rights in the Licensed Intellectual Property, the LEA shall assign, and agrees to execute all documents reasonably requested by T&B to assign, all such rights in the Licensed Intellectual Property to T&B or its nominee.']","['Further, during the Term, except as otherwise provided herein, neither T&B nor any of its Affiliates may (1) offer to sell or sell any product or service that is the same or similar to the Products in the Exclusive Field of Use,<omitted>provided, however, that T&B, in its sole and absolute discretion, shall have the right to terminate this Agreement, including all rights and licenses granted to LEA herein, if and as of the date that any monthly Royalty Payment (as defined in 9.3, below) payable to T&B does not exceed the Minimum Guaranteed Royalty for six (6) consecutive months.']",New York,12/23/24,No,Yes,Yes,Yes
